id,name,year,rating,rank,min_players,max_players,min_gameplay_time,max_gameplay_time,min_age,complexity_weight,category,mechanisms,type,BGG_link,store_names,store_prices,links_to_buy,availability,international_store
1844,Sixth Fleet,1975.0,5.5,10790.0,2.0,2.0,120.0,120.0,12.0,2.85,Modern Warfare;Nautical;Wargame,Hex-and-Counter,Magazine: Strategy & Tactics,,,,,,
1845,Sicily: The Race for Messina,1981.0,6.6,4130.0,2.0,2.0,120.0,1200.0,12.0,3.1,Wargame;World War II,Hex-and-Counter;Simulation,Islands: Sicily;Magazine: Strategy & Tactics;Panzergruppe Guderian System;Victory in the West,,,,,,
1846,Beirut '82,1989.0,5.0,11493.0,2.0,2.0,120.0,120.0,12.0,2.33,Modern Warfare;Wargame,Hex-and-Counter,Country: Lebanon;Magazine: Strategy & Tactics,,,,,,
1847,Chad: The Toyota Wars,1991.0,6.3,6742.0,2.0,2.0,120.0,120.0,12.0,3.1,Modern Warfare;Wargame,Hex-and-Counter,Country: Chad;Magazine: Strategy & Tactics,,,,,,
1848,Seize the Realm,2003.0,5.0,,2.0,5.0,30.0,30.0,,3.0,Card Game;Medieval,Hand Management,,,,,,,
1849,The China War,1979.0,5.5,10764.0,2.0,2.0,120.0,120.0,12.0,2.59,Modern Warfare;Wargame,Hex-and-Counter,Country: China;Magazine: Strategy & Tactics;Panzergruppe Guderian System,,,,,,
1850,The Desert Fox,1981.0,7.2,3202.0,2.0,2.0,120.0,120.0,12.0,3.26,Wargame;World War II,Hex-and-Counter;Simulation,Magazine: Strategy & Tactics,,,,,,
1851,The Fall of Rome,1973.0,5.7,9485.0,1.0,1.0,90.0,90.0,12.0,2.59,Ancient;Wargame,Area Control / Area Influence;Area Movement,Ancient Rome;Magazine: Strategy & Tactics;Solitaire Games,,,,,,
1852,Men At Arms,1990.0,4.5,12272.0,2.0,2.0,120.0,120.0,12.0,2.5,Ancient;Medieval;Wargame,Hex-and-Counter,Magazine: Strategy & Tactics,,,,,,
1853,Paratroop,1979.0,5.9,7489.0,2.0,2.0,120.0,120.0,12.0,2.3,Wargame;World War II,Hex-and-Counter,Country: Greece;Magazine: Strategy & Tactics,,,,,,
1854,Pegasus Bridge: The Beginning of D-Day - June 6 1944,1988.0,5.8,8833.0,1.0,2.0,120.0,120.0,12.0,2.67,Wargame;World War II,Hex-and-Counter,Country: France;Magazine: Strategy & Tactics;Solitaire Games;Solitaire Wargames,,,,,,
1855,For the People,1998.0,7.7,560.0,2.0,2.0,360.0,360.0,12.0,3.63,American Civil War;Wargame,Campaign / Battle Card Driven;Dice Rolling;Point to Point Movement;Simulation,,,,,,,
1856,Rapid Deployment Force (RDF),1983.0,6.2,,2.0,2.0,120.0,120.0,12.0,3.17,Modern Warfare;Wargame,Hex-and-Counter,Magazine: Strategy & Tactics,,,,,,
