id,name,year,rating,rank,num_players,gameplay_time,age,complexity_weight,category,mechanisms,type
bg2435,Strategy: The Navy Game for All The Family,1973,4.7,,2,60  Min,,0.00/5,Modern Warfare;Wargame,Point to Point Movement,
bg2436,Licht und Schatten,1990,6.8,,2-4,45  Min,8+,0.00/5,Dice;Word Game,Dice Rolling;Modular Board;Partnerships,
bg2437,Flößer am Katarakt,2003,6.7,,2,30  Min,10+,3.00/5,Transportation,Area Movement,
bg2438,Bäuerchen & Co,1998,0.0,,2-4,45  Min,10+,0.00/5,City Building;Farming,Tile Placement,
bg2439,Lu Zhan Jun Qi,,6.0,8397,2,20  Min,10+,2.21/5,Bluffing;Deduction;Wargame,Point to Point Movement;Secret Unit Deployment,
bg2440,Cranium,1998,5.7,5111,4-16,60  Min,13+,1.45/5,Party Game;Puzzle;Trivia;Word Game,Acting;Line Drawing;Paper-and-Pencil;Partnerships;Roll / Spin and Move;Singing,Cranium;Play Dough/Clay Games
bg2441,On to Moscow,1994,6.5,7651,2,180  Min,,3.00/5,Age of Reason;Wargame,Dice Rolling;Hex-and-Counter,Cities: Moscow;Country: Russia;Magazine: Strategy & Tactics
bg2442,Linop,1979,6.0,,2,45  Min,7+,1.50/5,Abstract Strategy,Pattern Building;Pattern Recognition,Spielbox
bg2443,The Russo-Turkish War 1877-78,1992,6.3,6956,2,120  Min,12+,3.16/5,Post-Napoleonic;Wargame,Dice Rolling;Hex-and-Counter,Country: Turkey;Magazine: Strategy & Tactics;Wars of the Imperial Age Series
bg2444,The Secret Garden,1993,4.2,,2-6,20  Min,6+,1.00/5,Children's Game;Movies / TV / Radio theme,Roll / Spin and Move,
bg2445,Jenga Xtreme,2003,5.2,11831,2-8,20  Min,8+,1.11/5,Action / Dexterity;Party Game,,Jenga
bg2446,Jenga Truth-or-Dare,2000,5.1,12264,2-8,20  Min,12+,1.00/5,Action / Dexterity;Party Game,,Jenga
bg2447,Briljant,1998,6.1,,3-6,30  Min,,0.00/5,Bluffing,Auction/Bidding,
bg2448,Burgen von Teufelsbach,1998,4.5,,2-5,60  Min,,0.00/5,Medieval,,
bg2449,Trek,1960,5.5,,3-6,45  Min,11+,2.50/5,Transportation,Point to Point Movement,
bg2450,Ad Mania,1997,4.3,,2-4,60  Min,8+,1.00/5,Movies / TV / Radio theme;Party Game;Trivia,Acting,
bg2451,BuyWord,2004,6.3,2386,1-4,45  Min,8+,1.82/5,Math;Word Game,Set Collection,
bg2452,Finder's Keepers,1969,5.3,,2-4,20  Min,8+,2.00/5,Children's Game;Memory,Memory,
bg2453,Colors,1990,6.5,,2,20  Min,8+,0.00/5,Abstract Strategy,,
bg2454,Orion,1971,6.8,6976,1-4,20  Min,8+,2.00/5,Abstract Strategy;Game System;Puzzle,Pattern Building,
bg2455,Dancing Eggs,2003,6.5,1453,2-4,10  Min,5+,1.05/5,Action / Dexterity;Children's Game;Dice;Humor;Party Game,Dice Rolling,HABA Mitbringspiele series
bg2456,Monday Night Football: Interactive TV Card Game,1998,3.9,,2-8,120  Min,8+,1.00/5,Action / Dexterity;Card Game;Memory;Movies / TV / Radio theme;Sports,Memory;Pattern Recognition,Sports: American Football / Gridiron
bg2457,Catch 22,2002,5.1,,2-6,45  Min,12+,1.67/5,Abstract Strategy;Dice;Maze;Racing,Dice Rolling;Pick-up and Deliver;Roll / Spin and Move;Tile Placement,
bg2458,Let's Be Safe!,1986,0.0,,2-4,60  Min,5+,0.00/5,Children's Game;Educational,Roll / Spin and Move,
bg2459,Lady Luck,1986,4.2,,2-6,30  Min,,1.00/5,Bluffing;Dice,Auction/Bidding;Roll / Spin and Move;Trading,
bg2460,Similarius,2002,7.4,,2-4,30  Min,4+,1.33/5,Children's Game;Memory,Memory;Pattern Recognition,
bg2461,Smuggle,2000,4.4,,2-6,90  Min,8+,0.00/5,Bluffing;Exploration;Transportation,Co-operative Play,
bg2462,Buffy the Vampire Slayer CCG,2001,5.6,9969,2-10,20  Min,10+,2.08/5,Card Game;Collectible Components,,CCGs (Collectible Card Games);TV Series: Buffy the Vampire Slayer;Vampires
bg2463,Talk About,1989,5.8,,3-5,30  Min,8+,1.00/5,Movies / TV / Radio theme;Party Game;Word Game,Partnerships,
bg2464,Prison Bitch,2003,3.7,,2-4,20  Min,18+,3.00/5,Fighting;Horror;Mature / Adult,Card Drafting;Dice Rolling;Hand Management;Variable Player Powers,
bg2465,Happiness,1972,4.7,,2-6,60  Min,6+,1.00/5,Children's Game,Roll / Spin and Move;Set Collection,
bg2466,Die-Roll,1998,2.0,,2,20  Min,,0.00/5,Abstract Strategy,,
bg2467,Shazamm!,2003,6.2,2944,2,30  Min,10+,1.89/5,Bluffing;Card Game;Fantasy,Auction/Bidding;Hand Management;Simultaneous Action Selection,Admin: Better Description Needed!
bg2468,Chameleo Chameleo,1998,3.0,,2-6,45  Min,8+,0.00/5,Abstract Strategy,Tile Placement,
bg2469,Das Piratenschiff,1998,6.0,,3-6,60  Min,,0.00/5,Dice;Nautical;Pirates;Transportation,Dice Rolling,
bg2470,Pirate,1979,3.5,,2-4,45  Min,9+,0.00/5,Nautical;Pirates,,
bg2471,Der wahre Walter,1989,7.3,3906,4-10,60  Min,,1.29/5,Party Game,Betting/Wagering;Voting,
