_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
21198,1210,9404,Carcassonne: The Castle,2003.0,Carcassonne: The Castle,2003.0
21341,1212,4288,Arena Maximus,2003.0,Arena Maximus,2003.0
21751,1231,9462,Armory,2003.0,Armory,2003.0
21801,1237,4288,Magical Arena,2003.0,Arena Maximus,2003.0
21877,1244,2544,The Italian Front: 1915-1918,2003.0,Eastern Front,2003.0
22103,1279,6948,The Magic Box,2003.0,Killer Bunnies and the Quest for the Magic Carrot VIOLET Booster,2003.0
22265,1306,4963,Fearsome Floors,2003.0,Fearsome Floors,2003.0
22998,1359,4528,YINSH,2003.0,Yinsh,2003.0
23142,1364,811,Dragon Ball Card Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
23161,1364,2197,Dragon Ball Card Game,2003.0,"Suicide Bomber Card Game, The",2003.0
23179,1364,4121,Dragon Ball Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
23234,1366,811,Simpsons Trading Card Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
23253,1366,2197,Simpsons Trading Card Game,2003.0,"Suicide Bomber Card Game, The",2003.0
23271,1366,4121,Simpsons Trading Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
23480,1368,6764,Birds Bugs and Beans,2003.0,"Birds, Bugs and Beans",2003.0
23596,1370,270,10 Days in Africa,2003.0,10 Days in the USA,2003.0
23665,1370,6771,10 Days in Africa,2003.0,10 Days in Africa,2003.0
23688,1371,270,10 Days in the USA,2003.0,10 Days in the USA,2003.0
23757,1371,6771,10 Days in the USA,2003.0,10 Days in Africa,2003.0
24139,1378,9085,Early Years,2003.0,Early Years,2003.0
24893,1484,1116,Lucky Seven,2003.0,Lucky Loop,2003.0
25035,1488,6311,Fantasy Pub,2003.0,Fantasy Pub,2003.0
25362,1504,1961,Battle Cry of Freedom,2003.0,Battle Cry of Freedom,2003.0
