_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
5993,5162,3647,An Evening of Murder: Beyond the Grave,1985.0,World War II - European Theater of Operations,1985.0
6001,5162,8236,An Evening of Murder: Beyond the Grave,1985.0,Ace of Aces - Balloon Buster,1985.0
6010,5165,2690,An Evening of Murder: Forever Friends,1985.0,Battle of the Bulge (1st Printing),1985.0
6012,5165,3027,An Evening of Murder: Forever Friends,1985.0,"Eye of the Idol, The",1985.0
6013,5165,3647,An Evening of Murder: Forever Friends,1985.0,World War II - European Theater of Operations,1985.0
6021,5165,8236,An Evening of Murder: Forever Friends,1985.0,Ace of Aces - Balloon Buster,1985.0
6050,5209,2690,Life of the Party: Where There's a Will There's a Murder,1985.0,Battle of the Bulge (1st Printing),1985.0
6052,5209,3027,Life of the Party: Where There's a Will There's a Murder,1985.0,"Eye of the Idol, The",1985.0
6053,5209,3647,Life of the Party: Where There's a Will There's a Murder,1985.0,World War II - European Theater of Operations,1985.0
6061,5209,8236,Life of the Party: Where There's a Will There's a Murder,1985.0,Ace of Aces - Balloon Buster,1985.0
6070,5210,2690,Life of the Party: The Coffeehouse Murder,1985.0,Battle of the Bulge (1st Printing),1985.0
6072,5210,3027,Life of the Party: The Coffeehouse Murder,1985.0,"Eye of the Idol, The",1985.0
6073,5210,3647,Life of the Party: The Coffeehouse Murder,1985.0,World War II - European Theater of Operations,1985.0
6081,5210,8236,Life of the Party: The Coffeehouse Murder,1985.0,Ace of Aces - Balloon Buster,1985.0
6145,5310,9313,The Charade Game,1985.0,Star Trek - The Adventure Game,1985.0
6210,5339,2690,How to Host a Murder: Grapes of Frath,1985.0,Battle of the Bulge (1st Printing),1985.0
6212,5339,3027,How to Host a Murder: Grapes of Frath,1985.0,"Eye of the Idol, The",1985.0
6213,5339,3647,How to Host a Murder: Grapes of Frath,1985.0,World War II - European Theater of Operations,1985.0
6221,5339,8236,How to Host a Murder: Grapes of Frath,1985.0,Ace of Aces - Balloon Buster,1985.0
6285,5504,9313,No Respect: Rodney Dangerfield's Game,1985.0,Star Trek - The Adventure Game,1985.0
6290,5507,2690,Incognito: The Game of Charades,1985.0,Battle of the Bulge (1st Printing),1985.0
6292,5507,3027,Incognito: The Game of Charades,1985.0,"Eye of the Idol, The",1985.0
6293,5507,3647,Incognito: The Game of Charades,1985.0,World War II - European Theater of Operations,1985.0
6301,5507,8236,Incognito: The Game of Charades,1985.0,Ace of Aces - Balloon Buster,1985.0
6305,5507,9313,Incognito: The Game of Charades,1985.0,Star Trek - The Adventure Game,1985.0
6313,5520,3647,Rommel's War,1985.0,World War II - European Theater of Operations,1985.0
6510,5779,2690,Streets of Fire: ASL Deluxe Module 1,1985.0,Battle of the Bulge (1st Printing),1985.0
6512,5779,3027,Streets of Fire: ASL Deluxe Module 1,1985.0,"Eye of the Idol, The",1985.0
6513,5779,3647,Streets of Fire: ASL Deluxe Module 1,1985.0,World War II - European Theater of Operations,1985.0
6521,5779,8236,Streets of Fire: ASL Deluxe Module 1,1985.0,Ace of Aces - Balloon Buster,1985.0
6570,5873,2690,How to Host a Murder: The Hollywood Premiere of Powar and Greede,1985.0,Battle of the Bulge (1st Printing),1985.0
6572,5873,3027,How to Host a Murder: The Hollywood Premiere of Powar and Greede,1985.0,"Eye of the Idol, The",1985.0
6573,5873,3647,How to Host a Murder: The Hollywood Premiere of Powar and Greede,1985.0,World War II - European Theater of Operations,1985.0
6581,5873,8236,How to Host a Murder: The Hollywood Premiere of Powar and Greede,1985.0,Ace of Aces - Balloon Buster,1985.0
6613,6116,3647,Pacific War,1985.0,World War II - European Theater of Operations,1985.0
6642,6156,8778,Trivial Pursuit: RPM Edition,1985.0,Trivial Detective,1985.0
6673,6228,3647,Europe at War,1985.0,World War II - European Theater of Operations,1985.0
6710,6238,2690,Ace of Aces: Balloon Buster,1985.0,Battle of the Bulge (1st Printing),1985.0
6712,6238,3027,Ace of Aces: Balloon Buster,1985.0,"Eye of the Idol, The",1985.0
6713,6238,3647,Ace of Aces: Balloon Buster,1985.0,World War II - European Theater of Operations,1985.0
6721,6238,8236,Ace of Aces: Balloon Buster,1985.0,Ace of Aces - Balloon Buster,1985.0
6764,6267,9011,Golden Trivia Game: Star Trek Edition,1985.0,Star Trek: The Enterprise^4 Encounter,1985.0
6765,6267,9313,Golden Trivia Game: Star Trek Edition,1985.0,Star Trek - The Adventure Game,1985.0
6790,6270,2690,The Game of Catholic Trivia,1985.0,Battle of the Bulge (1st Printing),1985.0
6792,6270,3027,The Game of Catholic Trivia,1985.0,"Eye of the Idol, The",1985.0
6793,6270,3647,The Game of Catholic Trivia,1985.0,World War II - European Theater of Operations,1985.0
